data,ano,mes,nome_mes,trimestre,numero_pedido,sku,produto,categoria,subcategoria,unidade,cliente,segmento,porte,cidade,estado,regiao,vendedor,equipe,regional,canal,quantidade,quantidade_dev,preco_unitario,desconto_pct,receita_bruta,receita_liquida,custo_total,margem_bruta,meta_quantidade,meta_receita
2023-01-02,2023,1,January,1,PED-2023-04284,PAD-001,Macarrão Espaguete 500g,Padaria/Massas,Massas,CX20,Supermercado Boa Sorte,Varejo,Médio,Curitiba,PR,Sul,Equipe Sul,Sul,Sul,E-commerce,4.582,0.0,46.953,0,215.14,215.14,103.27,111.87,5.178,195.99
2023-01-02,2023,1,January,1,PED-2023-07563,LAT-001,Leite Integral UHT 1L,Laticínios,Leite,CX12,Cash & Carry Nordeste,Atacado,Médio,Salvador,BA,Nordeste,Equipe Sul,Sul,Sul,Direto,26.882,0.0,39.2514,0,1055.16,1055.16,685.85,369.31,24.504,1003.22
2023-01-02,2023,1,January,1,PED-2023-06464,BEV-001,Suco de Laranja 1L,Bebidas,Sucos,CX12,Cash & Carry Nordeste,Atacado,Médio,Salvador,BA,Nordeste,Equipe Sul,Sul,Sul,E-commerce,7.197,0.144,40.4766,0,291.31,291.31,151.48,139.83,8.235,280.73
2023-01-02,2023,1,January,1,PED-2023-06248,GRA-002,Feijão Carioca 1kg,Grãos,Feijão,SC,Cash & Carry Nordeste,Atacado,Médio,Salvador,BA,Nordeste,Equipe CO,Centro-Oeste,Centro-Oeste,Direto,7.838,0.0,9.0273,5,70.76,67.22,36.8,30.42,7.384,61.0
2023-01-02,2023,1,January,1,PED-2023-01083,BEV-004,Isotônico Limão 500ml,Bebidas,Funcionais,CX12,Restaurantes União,Food Service,Grande,Belo Horizonte,MG,Sudeste,Equipe Sul,Sul,Sul,Direto,13.416,0.268,56.2284,3,754.36,731.73,377.18,354.55,15.314,697.94
2023-01-02,2023,1,January,1,PED-2023-06602,BEV-001,Suco de Laranja 1L,Bebidas,Sucos,CX12,Cash & Carry Nordeste,Atacado,Médio,Salvador,BA,Nordeste,Equipe Sul,Sul,Sul,E-commerce,15.495,0.0,40.9321,0,634.24,634.24,329.8,304.44,15.915,653.43
2023-01-02,2023,1,January,1,PED-2023-07530,BEV-001,Suco de Laranja 1L,Bebidas,Sucos,CX12,Atacadão Centro-Oeste,Atacado,Grande,Goiânia,GO,Centro-Oeste,Equipe Norte/NE,Norte/Nordeste,Norte/Nordeste,Distribuidor,8.983,0.0,45.7838,0,411.28,411.28,213.87,197.41,8.668,424.84
2023-01-02,2023,1,January,1,PED-2023-02026,PAD-001,Macarrão Espaguete 500g,Padaria/Massas,Massas,CX20,Mercearia São João,Varejo,Pequeno,Florianópolis,SC,Sul,Equipe CO,Centro-Oeste,Centro-Oeste,E-commerce,7.693,0.0,42.5438,0,327.29,327.29,157.1,170.19,8.293,299.34
2023-01-02,2023,1,January,1,PED-2023-03959,BEV-003,Refrigerante Cola 2L,Bebidas,Refrigerantes,CX6,Atacadão Centro-Oeste,Atacado,Grande,Goiânia,GO,Centro-Oeste,Equipe CO,Centro-Oeste,Centro-Oeste,Distribuidor,17.232,0.0,28.7333,7,495.13,460.47,222.81,237.66,19.781,486.15
2023-01-02,2023,1,January,1,PED-2023-03655,SNK-003,Biscoito Cream Cracker,Snacks,Biscoitos,CX30,Grupo Varejo NE,Varejo,Grande,Recife,PE,Nordeste,Equipe Sul,Sul,Sul,Direto,27.929,0.0,69.8372,7,1950.48,1813.95,858.21,955.74,27.245,1777.78
2023-01-02,2023,1,January,1,PED-2023-05044,PAD-001,Macarrão Espaguete 500g,Padaria/Massas,Massas,CX20,Atacadão Centro-Oeste,Atacado,Grande,Goiânia,GO,Centro-Oeste,Equipe Sudeste,Sudeste,Sudeste,Distribuidor,4.448,0.0,44.6976,0,198.81,198.81,95.43,103.38,4.527,189.17
2023-01-02,2023,1,January,1,PED-2023-07207,GRA-001,Arroz Parboilizado 5kg,Grãos,Arroz,SC,Supermercado Econômico,Varejo,Médio,Londrina,PR,Sul,Equipe Sudeste,Sudeste,Sudeste,Televendas,12.781,0.0,21.2103,3,271.09,262.96,149.1,113.86,13.441,258.41
2023-01-02,2023,1,January,1,PED-2023-03684,BEV-004,Isotônico Limão 500ml,Bebidas,Funcionais,CX12,Makro Sudeste,Atacado,Grande,São Paulo,SP,Sudeste,Equipe Sul,Sul,Sul,E-commerce,9.858,0.0,56.0448,3,552.49,535.92,276.25,259.67,10.725,502.84
2023-01-02,2023,1,January,1,PED-2023-05883,SNK-003,Biscoito Cream Cracker,Snacks,Biscoitos,CX30,Food Service Express,Food Service,Médio,Rio de Janeiro,RJ,Sudeste,Equipe Sul,Sul,Sul,Televendas,7.043,0.0,71.1604,0,501.18,501.18,220.52,280.66,6.494,502.13
